word,meaning,date,times_correct,times_incorrect
ethos,the distinctive spirit of a culture or an era,03-05-2018,0.0,0.0
overshadow,"Be greater in significance than, Make appear small by comparison, Cast a shadow upon",03-05-2018,0.0,0.0
invalidate,"Declare invalid, render ineffective",03-05-2018,0.0,0.0
illuminate,"Make lighter or brighter, make clear",03-05-2018,0.0,0.0
enhance,"Add something extra to make more intense or better, to make more attractive",03-05-2018,0.0,0.0
obscure,Make less visible or unclear,03-05-2018,0.0,0.0
underscore,"Give extra weight to, Draw a line or lines underneath to call attention to",03-05-2018,0.0,0.0
plausible,"Apparently reasonable and valid, and truthful, Given to or characterized by presenting specious arguments",03-05-2018,0.0,0.0
superficial,"Concerned with or comprehending only what is apparent or obvious;, of little substance or significance",03-05-2018,0.0,0.0
temperance,Abstaining from excess,03-05-2018,0.0,0.0
notoriety,The state of being known for some unfavourable act or quality,03-05-2018,0.0,0.0
eminence,High status importance owing to marked superiority,03-05-2018,0.0,0.0
tumultous,"Characterized by unrest, disorder or insubordination",03-05-2018,0.0,0.0
providential,"peculiarly fortunate, Relating to or characteristic of providence",03-05-2018,0.0,0.0
dispassionate,Unaffected by strong emotion or prejudice,03-05-2018,0.0,0.0
imperceptibly,"In an imperceptible manner or to an imperceptible degree, Impossible or difficult to perceive by the mind or senses",03-05-2018,0.0,0.0
precarious,"fraught with danger, not secure",03-05-2018,0.0,0.0
relentless,"Not to be placated, appeased or moved by entreaty, never ceasing",03-05-2018,0.0,0.0
eccentric,"grossly unusual, unexpected, unconventional",03-05-2018,0.0,0.0
trifling,not worth considering,03-05-2018,0.0,0.0
ameliorate,to make better,03-05-2018,0.0,0.0
ascertain,establish something,03-05-2018,0.0,0.0
exacerbate,"make worse, aggravate, inflame",03-05-2018,0.0,0.0
overlook,"be oriented in a certain direction, leave out",03-05-2018,0.0,0.0
worsened,Made or become worse; impaired,03-05-2018,0.0,0.0
deleterious,Harmful to living things,05-05-2018,0.0,0.0
intricate,Having many complexly arranged elements; elaborate,05-05-2018,0.0,0.0
ebb,Flow back or recede,05-05-2018,0.0,0.0
extravagant,"Unrestrained, especially with regard to feelings",05-05-2018,0.0,0.0
tawdry,tastelessly showy,05-05-2018,0.0,0.0
parsimonious,Excessively unwilling to spend,05-05-2018,0.0,0.0
paucity,an insufficient quantity,05-05-2018,0.0,0.0
assiduous,marked by care and persistent effort,05-05-2018,0.0,0.0
Laceration,the act of tearing irregularly,05-05-2018,0.0,0.0
annals,historical records,05-05-2018,0.0,0.0
perpetuate,cause to continue or prevail,05-05-2018,0.0,0.0
antithesis,exact opposite,05-05-2018,0.0,0.0
conjecture,an opinion or compulsion formed on the basis of incomplete information,05-05-2018,0.0,0.0
aver,to declare or affirm solemnly and formally as true,05-05-2018,0.0,0.0
Mien,dignified manner or conduct,05-05-2018,0.0,0.0
pretext,something serving to conceal plans,05-05-2018,0.0,0.0
Abate,become less in amount or intensity,14-05-2018,0.0,0.0
Abhor,regard with disgust or hatred,14-05-2018,0.0,0.0
Abjure,formally reject or disavow a formerly held belief,14-05-2018,0.0,0.0
Abortive,failing to accomplish intended result,14-05-2018,0.0,0.0
Abound,exist in large quantities,14-05-2018,0.0,0.0
Abrogate,"repeal or do away with, abolish",14-05-2018,0.0,0.0
Abstemious,indulging only very moderately in something,14-05-2018,0.0,0.0
Absured,inconsistent with reason or logic or common sense,14-05-2018,0.0,0.0
Access,the right to enter,14-05-2018,0.0,0.0
Accommodate,"have room for, hold without crowding",14-05-2018,0.0,0.0
Accomplice,a person who joins another in carrying out some plan,14-05-2018,0.0,0.0
Accost,speak to somone,14-05-2018,0.0,0.0
Acknowledge,declare to be true or admit the existence or reality of,14-05-2018,0.0,0.0
Acme,the highest point of something,14-05-2018,0.0,0.0
Acrimonious,marked by strong resetment or cynicism,14-05-2018,0.0,0.0
Acute,having or showing a perceptive understanding or insight; shrewd,14-05-2018,0.0,0.0
Adamant,refusing to be persuaded,14-05-2018,0.0,0.0
